date,rank,title,author,description
2016-09-11,9,ANTI-STEPBROTHER,Tijan,"Summer heads to college with designs on her stepbrother, but his fraternity mate turns her head instead."
2016-09-11,10,SUMMER ISLAND,Kristin Hannah,Ruby ends her estrangement from her famous advice-guru mother in order to write a tell-all.
2016-09-11,11,THE WOMAN IN CABIN 10,Ruth Ware,"A travel writer on a cruise is certain she has heard a body thrown overboard, but no one believes her."
2016-09-11,12,CURIOUS MINDS,Janet Evanovich and Phoef Sutton,"The first of a new series featuring Emerson Knight, an eccentric millionaire, and Riley Moon, an analyst at a mega-bank."
2016-09-11,13,ROGUE LAWYER,John Grisham,The attorney Sebastian Rudd is a “lone gunman” who hates injustice and the system and defends unpopular clients.
2016-09-11,14,WITH EVERY BREATH,Maya Banks,"The killer who terrorized Eliza as a teenager is suddenly free on a legal loophole, in a continuation of the Slow Burn series."
2016-09-11,15,INSIDIOUS,Catherine Coulter,Two cases — one concerning an attempted poisoning in Washington and another about the hunt for a serial killer in Los Angeles — are the focus of Coulter’s 20th F.B.I. thriller.
2016-09-11,16,THE PACT,Jodi Picoult,"When a teenage girl commits suicide, her boyfriend is accused of murder."
2016-09-11,17,THE MEMORY BOX,Eva Natiello,"When a suburban mom Googles herself, she's met with quite a surprise."
2016-09-11,18,ME BEFORE YOU,Jojo Moyes,"A young woman who has barely been farther afield than her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016-09-11,19,SEE ME,Nicholas Sparks,A couple in love are threatened by secrets from the past.
2016-09-11,20,AFTER YOU,Jojo Moyes,"In a sequel to “Me Before You,” Louisa Clark tries to put her life back together after the death of Will Traynor."
2016-09-11,1,THE GIRL ON THE TRAIN,Paula Hawkins,A psychological thriller set in the environs of London is full of complications and betrayals.
2016-09-11,2,THE LIGHT BETWEEN OCEANS,M L Stedman,An Australian lighthouse keeper and his wife decide to keep a baby who has washed ashore.
2016-09-11,3,THE UNDERGROUND RAILROAD,Colson Whitehead,"A teenage girl heads north on the network that helped slaves escape to freedom, envisioned in this novel as a secret system of actual tracks and tunnels."
2016-09-11,4,STING,Sandra Brown,A hired killer and a woman he kidnapped join forces to elude the F.B.I. agents and others who are searching for her corrupt brother.
2016-09-11,5,TRULY MADLY GUILTY,Liane Moriarty,Tense turning points for three couples at a backyard barbecue gone wrong.
2016-09-11,6,FIRST STAR I SEE TONIGHT,Susan Elizabeth Phillips,A former quarterback hires a detective to scope out the employees at his high-end nightclub.
2016-09-11,7,A MAN CALLED OVE,Fredrik Backman,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.
2016-09-11,8,BULLSEYE,James Patterson and Michael Ledwidge,Detective Michael Bennett must stop a team of assassins prowling the Upper West Side.
2016-09-11,9,ANTI-STEPBROTHER,Tijan,"Summer heads to college with designs on her stepbrother, but his fraternity mate turns her head instead."
2016-09-11,10,SUMMER ISLAND,Kristin Hannah,Ruby ends her estrangement from her famous advice-guru mother in order to write a tell-all.
2016-09-11,11,THE WOMAN IN CABIN 10,Ruth Ware,"A travel writer on a cruise is certain she has heard a body thrown overboard, but no one believes her."
2016-09-11,12,CURIOUS MINDS,Janet Evanovich and Phoef Sutton,"The first of a new series featuring Emerson Knight, an eccentric millionaire, and Riley Moon, an analyst at a mega-bank."
2016-09-11,13,ROGUE LAWYER,John Grisham,The attorney Sebastian Rudd is a “lone gunman” who hates injustice and the system and defends unpopular clients.
2016-09-11,14,WITH EVERY BREATH,Maya Banks,"The killer who terrorized Eliza as a teenager is suddenly free on a legal loophole, in a continuation of the Slow Burn series."
2016-09-11,15,INSIDIOUS,Catherine Coulter,Two cases — one concerning an attempted poisoning in Washington and another about the hunt for a serial killer in Los Angeles — are the focus of Coulter’s 20th F.B.I. thriller.
2016-09-11,16,THE PACT,Jodi Picoult,"When a teenage girl commits suicide, her boyfriend is accused of murder."
2016-09-11,17,THE MEMORY BOX,Eva Natiello,"When a suburban mom Googles herself, she's met with quite a surprise."
2016-09-11,18,ME BEFORE YOU,Jojo Moyes,"A young woman who has barely been farther afield than her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016-09-11,19,SEE ME,Nicholas Sparks,A couple in love are threatened by secrets from the past.
2016-09-11,20,AFTER YOU,Jojo Moyes,"In a sequel to “Me Before You,” Louisa Clark tries to put her life back together after the death of Will Traynor."
2016-09-11,1,THE GIRL ON THE TRAIN,Paula Hawkins,A psychological thriller set in the environs of London is full of complications and betrayals.
2016-09-11,2,THE LIGHT BETWEEN OCEANS,M L Stedman,An Australian lighthouse keeper and his wife decide to keep a baby who has washed ashore.
2016-09-11,3,THE UNDERGROUND RAILROAD,Colson Whitehead,"A teenage girl heads north on the network that helped slaves escape to freedom, envisioned in this novel as a secret system of actual tracks and tunnels."
2016-09-11,4,STING,Sandra Brown,A hired killer and a woman he kidnapped join forces to elude the F.B.I. agents and others who are searching for her corrupt brother.
2016-09-11,5,TRULY MADLY GUILTY,Liane Moriarty,Tense turning points for three couples at a backyard barbecue gone wrong.
2016-09-11,6,FIRST STAR I SEE TONIGHT,Susan Elizabeth Phillips,A former quarterback hires a detective to scope out the employees at his high-end nightclub.
2016-09-11,7,A MAN CALLED OVE,Fredrik Backman,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.
2016-09-11,8,BULLSEYE,James Patterson and Michael Ledwidge,Detective Michael Bennett must stop a team of assassins prowling the Upper West Side.
2016-09-11,9,ANTI-STEPBROTHER,Tijan,"Summer heads to college with designs on her stepbrother, but his fraternity mate turns her head instead."
2016-09-11,10,SUMMER ISLAND,Kristin Hannah,Ruby ends her estrangement from her famous advice-guru mother in order to write a tell-all.
2016-09-11,11,THE WOMAN IN CABIN 10,Ruth Ware,"A travel writer on a cruise is certain she has heard a body thrown overboard, but no one believes her."
2016-09-11,12,CURIOUS MINDS,Janet Evanovich and Phoef Sutton,"The first of a new series featuring Emerson Knight, an eccentric millionaire, and Riley Moon, an analyst at a mega-bank."
2016-09-11,13,ROGUE LAWYER,John Grisham,The attorney Sebastian Rudd is a “lone gunman” who hates injustice and the system and defends unpopular clients.
2016-09-11,14,WITH EVERY BREATH,Maya Banks,"The killer who terrorized Eliza as a teenager is suddenly free on a legal loophole, in a continuation of the Slow Burn series."
2016-09-11,15,INSIDIOUS,Catherine Coulter,Two cases — one concerning an attempted poisoning in Washington and another about the hunt for a serial killer in Los Angeles — are the focus of Coulter’s 20th F.B.I. thriller.
2016-09-11,16,THE PACT,Jodi Picoult,"When a teenage girl commits suicide, her boyfriend is accused of murder."
2016-09-11,17,THE MEMORY BOX,Eva Natiello,"When a suburban mom Googles herself, she's met with quite a surprise."
2016-09-11,18,ME BEFORE YOU,Jojo Moyes,"A young woman who has barely been farther afield than her English village finds herself while caring for a wealthy, embittered quadriplegic."
2016-09-11,19,SEE ME,Nicholas Sparks,A couple in love are threatened by secrets from the past.
2016-09-11,20,AFTER YOU,Jojo Moyes,"In a sequel to “Me Before You,” Louisa Clark tries to put her life back together after the death of Will Traynor."
2016-11-13,1,THE WHISTLER,John Grisham,A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.
2016-11-13,2,THE GIRL ON THE TRAIN,Paula Hawkins,A psychological thriller set in the environs of London is full of complications and betrayals.
2016-11-13,3,"SEX, LIES  AND SERIOUS MONEY",Stuart Woods,"The New York lawyer Stone Barrington’s client needs help spending the fortune he won in the lottery, as well as protection from scheming bad guys."
2016-11-13,4,SMALL GREAT THINGS,Jodi Picoult,"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer."
2016-11-13,5,TWO BY TWO,Nicholas Sparks,A man who became a single father when his marriage and business collapsed learns to take a chance on a new love.
2016-11-13,6,ESCAPE CLAUSE,John Sandford,Virgil Flowers of the Minnesota Bureau of Criminal Apprehension must deal with the theft of tigers from the local zoo.
2016-11-13,7,A MAN CALLED OVE,Fredrik Backman,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.
2016-11-13,8,VINCE FLYNN: ORDER TO KILL,Kyle Mills,"Vince Flynn’s character, the C.I.A. operative Mitch Rapp, uncovers a dangerous Russian plot. Flynn died in 2013."
2016-11-13,9,THE BLOOD MIRROR,Brent Weeks,The fourth book in the fantasy Lightbringer series follows “The Broken Eye.”
2016-11-13,10,INFERNO,Dan Brown,"The symbologist Robert Langdon, on the run in Florence, must decipher a series of codes created by a Dante-loving scientist."
2016-11-13,11,THE SELLOUT,Paul Beatty,A satirical tale of a man on trial for trying to segregate a school and introduce slavery to his home. Winner of the 2016 Man Booker Prize.
2016-11-13,12,A BAXTER FAMILY CHRISTMAS,Karen Kingsbury,"Two families grapple with love, loss and loneliness at the holidays."
2016-11-13,13,SUBMISSION IS NOT ENOUGH,Lexi Blake,The doctor who reconditioned Theo seeks to eliminate the woman whose love he can't remember.
2016-11-13,14,NIGHT WATCH,Iris Johansen and Roy Johansen,"When the doctor who gave Kendra her sight disappears, she and an agent for hire head to California."
2016-11-13,15,HOME,Harlan Coben,Myron Bolitar and his friend Win locate a boy who was kidnapped 10 years earlier; the 11th Myron Bolitar novel.
2016-11-13,16,COMMONWEALTH,Ann Patchett,Five decades in the lives of two families remade by divorce.
2016-11-13,17,THE OBSIDIAN CHAMBER,Douglas Preston and Lincoln Child,"While the F.B.I. agent Aloysius Pendergast is believed dead, his ward is kidnapped."
2016-11-13,18,THE WOMAN IN CABIN 10,Ruth Ware,"A travel writer on a cruise is certain she has heard a body thrown overboard, but no one believes her."
2016-11-13,19,FAMILY TREE,Susan Wiggs,"After a personal tragedy, a TV producer heads to her hometown and the now-threatened family farm."
2016-11-13,20,MARRIAGE GAMES,C D Reiss,
2016-11-13,1,THE WHISTLER,John Grisham,A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.
2016-11-13,2,THE GIRL ON THE TRAIN,Paula Hawkins,A psychological thriller set in the environs of London is full of complications and betrayals.
2016-11-13,3,"SEX, LIES  AND SERIOUS MONEY",Stuart Woods,"The New York lawyer Stone Barrington’s client needs help spending the fortune he won in the lottery, as well as protection from scheming bad guys."
2016-11-13,4,SMALL GREAT THINGS,Jodi Picoult,"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer."
2016-11-13,5,TWO BY TWO,Nicholas Sparks,A man who became a single father when his marriage and business collapsed learns to take a chance on a new love.
2016-11-13,6,ESCAPE CLAUSE,John Sandford,Virgil Flowers of the Minnesota Bureau of Criminal Apprehension must deal with the theft of tigers from the local zoo.
2016-11-13,7,A MAN CALLED OVE,Fredrik Backman,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.
2016-11-13,8,VINCE FLYNN: ORDER TO KILL,Kyle Mills,"Vince Flynn’s character, the C.I.A. operative Mitch Rapp, uncovers a dangerous Russian plot. Flynn died in 2013."
2016-11-13,9,THE BLOOD MIRROR,Brent Weeks,The fourth book in the fantasy Lightbringer series follows “The Broken Eye.”
2016-11-13,10,INFERNO,Dan Brown,"The symbologist Robert Langdon, on the run in Florence, must decipher a series of codes created by a Dante-loving scientist."
2016-11-13,11,THE SELLOUT,Paul Beatty,A satirical tale of a man on trial for trying to segregate a school and introduce slavery to his home. Winner of the 2016 Man Booker Prize.
2016-11-13,12,A BAXTER FAMILY CHRISTMAS,Karen Kingsbury,"Two families grapple with love, loss and loneliness at the holidays."
2016-11-13,13,SUBMISSION IS NOT ENOUGH,Lexi Blake,The doctor who reconditioned Theo seeks to eliminate the woman whose love he can't remember.
2016-11-13,14,NIGHT WATCH,Iris Johansen and Roy Johansen,"When the doctor who gave Kendra her sight disappears, she and an agent for hire head to California."
2016-11-13,15,HOME,Harlan Coben,Myron Bolitar and his friend Win locate a boy who was kidnapped 10 years earlier; the 11th Myron Bolitar novel.
2016-11-13,16,COMMONWEALTH,Ann Patchett,Five decades in the lives of two families remade by divorce.
2016-11-13,17,THE OBSIDIAN CHAMBER,Douglas Preston and Lincoln Child,"While the F.B.I. agent Aloysius Pendergast is believed dead, his ward is kidnapped."
2016-11-13,18,THE WOMAN IN CABIN 10,Ruth Ware,"A travel writer on a cruise is certain she has heard a body thrown overboard, but no one believes her."
2016-11-13,19,FAMILY TREE,Susan Wiggs,"After a personal tragedy, a TV producer heads to her hometown and the now-threatened family farm."
2016-11-13,20,MARRIAGE GAMES,C D Reiss,
2016-11-13,1,THE WHISTLER,John Grisham,A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.
2016-11-13,2,THE GIRL ON THE TRAIN,Paula Hawkins,A psychological thriller set in the environs of London is full of complications and betrayals.
2016-11-13,3,"SEX, LIES  AND SERIOUS MONEY",Stuart Woods,"The New York lawyer Stone Barrington’s client needs help spending the fortune he won in the lottery, as well as protection from scheming bad guys."
2016-11-13,4,SMALL GREAT THINGS,Jodi Picoult,"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer."
2016-11-13,5,TWO BY TWO,Nicholas Sparks,A man who became a single father when his marriage and business collapsed learns to take a chance on a new love.
2016-11-13,6,ESCAPE CLAUSE,John Sandford,Virgil Flowers of the Minnesota Bureau of Criminal Apprehension must deal with the theft of tigers from the local zoo.
2016-11-13,7,A MAN CALLED OVE,Fredrik Backman,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.
2016-11-13,8,VINCE FLYNN: ORDER TO KILL,Kyle Mills,"Vince Flynn’s character, the C.I.A. operative Mitch Rapp, uncovers a dangerous Russian plot. Flynn died in 2013."
2016-11-13,9,THE BLOOD MIRROR,Brent Weeks,The fourth book in the fantasy Lightbringer series follows “The Broken Eye.”
2016-11-13,10,INFERNO,Dan Brown,"The symbologist Robert Langdon, on the run in Florence, must decipher a series of codes created by a Dante-loving scientist."
2016-11-13,11,THE SELLOUT,Paul Beatty,A satirical tale of a man on trial for trying to segregate a school and introduce slavery to his home. Winner of the 2016 Man Booker Prize.
2016-11-13,12,A BAXTER FAMILY CHRISTMAS,Karen Kingsbury,"Two families grapple with love, loss and loneliness at the holidays."
2016-11-13,13,SUBMISSION IS NOT ENOUGH,Lexi Blake,The doctor who reconditioned Theo seeks to eliminate the woman whose love he can't remember.
2016-11-13,14,NIGHT WATCH,Iris Johansen and Roy Johansen,"When the doctor who gave Kendra her sight disappears, she and an agent for hire head to California."
2016-11-13,15,HOME,Harlan Coben,Myron Bolitar and his friend Win locate a boy who was kidnapped 10 years earlier; the 11th Myron Bolitar novel.
2016-11-13,16,COMMONWEALTH,Ann Patchett,Five decades in the lives of two families remade by divorce.
2016-11-13,17,THE OBSIDIAN CHAMBER,Douglas Preston and Lincoln Child,"While the F.B.I. agent Aloysius Pendergast is believed dead, his ward is kidnapped."
2016-11-13,18,THE WOMAN IN CABIN 10,Ruth Ware,"A travel writer on a cruise is certain she has heard a body thrown overboard, but no one believes her."
2016-11-13,19,FAMILY TREE,Susan Wiggs,"After a personal tragedy, a TV producer heads to her hometown and the now-threatened family farm."
2016-11-13,20,MARRIAGE GAMES,C D Reiss,
2017-01-15,1,THE WRONG SIDE OF GOODBYE,Michael Connelly,"Harry Bosch helps track a serial rapist, while as a P.I. he aids a billionaire in search of a possible heir."
2017-01-15,2,NO MAN'S LAND,David Baldacci,"John Puller, a special agent with the Army, searches for the truth about his mother, who disappeared 30  years ago."
2017-01-15,3,THE WHISTLER,John Grisham,A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.
2017-01-15,4,A DOG'S PURPOSE,W Bruce Cameron,A canine narrator undergoes a series of reincarnations.
2017-01-15,5,CRASH AND BURN,Fern Michaels,"In the Sisterhood's latest outing, the cohort faces a mudslinging Capitol Hill divorce."
2017-01-15,6,THE GIRL ON THE TRAIN,Paula Hawkins,A psychological thriller set in the environs of London is full of complications and betrayals.
2017-01-15,7,CROSS THE LINE,James Patterson,"Detective Alex Cross and his wife, Bree, team up to catch a killer causing chaos in Washington, D.C."
2017-01-15,8,TRULY MADLY GUILTY,Liane Moriarty,Tense turning points for three couples at a backyard barbecue gone wrong.
2017-01-15,9,A MAN CALLED OVE,Fredrik Backman,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.
2017-01-15,10,TWO BY TWO,Nicholas Sparks,A man who became a single father when his marriage and business collapsed learns to take a chance on a new love.
2017-01-15,11,MILK AND HONEY,Rupi Kaur,Poetic approaches to surviving adversity and loss.
2017-01-15,12,THE ALCHEMIST,Paulo Coelho,"In this fable, a Spanish shepherd boy ventures to Egypt in search of treasure and his destiny. First  published in 1993."
2017-01-15,13,SMALL GREAT THINGS,Jodi Picoult,"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer."
2017-01-15,14,THE MURDER HOUSE,James Patterson and David Ellis,"When bodies are found at a Hamptons estate where a series of grisly murders once occurred, a local detective and former New York City cop investigates."
2017-01-15,15,THE UNDERGROUND RAILROAD,Colson Whitehead,"A teenage girl heads north on the network that helped slaves escape to freedom, envisioned in this novel as a secret system of actual tracks and tunnels."
2017-01-15,16,WYOMING BRAVE,Diana Palmer,"Ren Colter, a wealthy rancher, protects a beautiful woman from a stalker."
2017-01-15,17,DARK MATTER,Blake Crouch,A quantum physicist is drawn into an alternate reality of tech-savvy criminals.
2017-01-15,18,THE NIGHTINGALE,Kristin Hannah,"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance."
2017-01-15,19,NIGHT SCHOOL,Lee Child,"Jack Reacher, still in the Army, becomes involved in an investigation with elite agents from the F.B.I. and C.I.A."
2017-01-15,20,UNTIL ASHLYN,Aurora Rose Reynolds,"An impulsive Vegas wedding turns out to have staying power, but who is trying to permanently snuff the newlyweds' happiness?"
2017-01-15,1,THE WRONG SIDE OF GOODBYE,Michael Connelly,"Harry Bosch helps track a serial rapist, while as a P.I. he aids a billionaire in search of a possible heir."
2017-01-15,2,NO MAN'S LAND,David Baldacci,"John Puller, a special agent with the Army, searches for the truth about his mother, who disappeared 30  years ago."
2017-01-15,3,THE WHISTLER,John Grisham,A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.
2017-01-15,4,A DOG'S PURPOSE,W Bruce Cameron,A canine narrator undergoes a series of reincarnations.
2017-01-15,5,CRASH AND BURN,Fern Michaels,"In the Sisterhood's latest outing, the cohort faces a mudslinging Capitol Hill divorce."
2017-01-15,6,THE GIRL ON THE TRAIN,Paula Hawkins,A psychological thriller set in the environs of London is full of complications and betrayals.
2017-01-15,7,CROSS THE LINE,James Patterson,"Detective Alex Cross and his wife, Bree, team up to catch a killer causing chaos in Washington, D.C."
2017-01-15,8,TRULY MADLY GUILTY,Liane Moriarty,Tense turning points for three couples at a backyard barbecue gone wrong.
2017-01-15,9,A MAN CALLED OVE,Fredrik Backman,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.
2017-01-15,10,TWO BY TWO,Nicholas Sparks,A man who became a single father when his marriage and business collapsed learns to take a chance on a new love.
2017-01-15,11,MILK AND HONEY,Rupi Kaur,Poetic approaches to surviving adversity and loss.
2017-01-15,12,THE ALCHEMIST,Paulo Coelho,"In this fable, a Spanish shepherd boy ventures to Egypt in search of treasure and his destiny. First  published in 1993."
2017-01-15,13,SMALL GREAT THINGS,Jodi Picoult,"A medical crisis entangles a black nurse, a white supremacist father and a white lawyer."
2017-01-15,14,THE MURDER HOUSE,James Patterson and David Ellis,"When bodies are found at a Hamptons estate where a series of grisly murders once occurred, a local detective and former New York City cop investigates."
2017-01-15,15,THE UNDERGROUND RAILROAD,Colson Whitehead,"A teenage girl heads north on the network that helped slaves escape to freedom, envisioned in this novel as a secret system of actual tracks and tunnels."
2017-01-15,16,WYOMING BRAVE,Diana Palmer,"Ren Colter, a wealthy rancher, protects a beautiful woman from a stalker."
2017-01-15,17,DARK MATTER,Blake Crouch,A quantum physicist is drawn into an alternate reality of tech-savvy criminals.
2017-01-15,18,THE NIGHTINGALE,Kristin Hannah,"Two sisters in World War II France: one struggling to survive in the countryside, the other joining the Resistance."
2017-01-15,19,NIGHT SCHOOL,Lee Child,"Jack Reacher, still in the Army, becomes involved in an investigation with elite agents from the F.B.I. and C.I.A."
2017-01-15,20,UNTIL ASHLYN,Aurora Rose Reynolds,"An impulsive Vegas wedding turns out to have staying power, but who is trying to permanently snuff the newlyweds' happiness?"
2017-01-15,1,THE WRONG SIDE OF GOODBYE,Michael Connelly,"Harry Bosch helps track a serial rapist, while as a P.I. he aids a billionaire in search of a possible heir."
2017-01-15,2,NO MAN'S LAND,David Baldacci,"John Puller, a special agent with the Army, searches for the truth about his mother, who disappeared 30  years ago."
2017-01-15,3,THE WHISTLER,John Grisham,A whistleblower alerts a Florida investigator to judicial corruption involving the Mob and Indian casinos.
2017-01-15,4,A DOG'S PURPOSE,W Bruce Cameron,A canine narrator undergoes a series of reincarnations.
2017-01-15,5,CRASH AND BURN,Fern Michaels,"In the Sisterhood's latest outing, the cohort faces a mudslinging Capitol Hill divorce."
2017-01-15,6,THE GIRL ON THE TRAIN,Paula Hawkins,A psychological thriller set in the environs of London is full of complications and betrayals.
2017-01-15,7,CROSS THE LINE,James Patterson,"Detective Alex Cross and his wife, Bree, team up to catch a killer causing chaos in Washington, D.C."
2017-01-15,8,TRULY MADLY GUILTY,Liane Moriarty,Tense turning points for three couples at a backyard barbecue gone wrong.
2017-01-15,9,A MAN CALLED OVE,Fredrik Backman,A curmudgeon's gruff exterior masks a generosity of spirit. Originally published in Sweden in 2014.
2017-01-15,10,TWO BY TWO,Nicholas Sparks,A man who became a single father when his marriage and business collapsed learns to take a chance on a new love.
